lokacija,povrsina,cena,razdalja,datum
"Istrska, Umag",50.55 m2,149.000 €,98.85 km,25.07.2025
"Grosuplje, Brvace",302 m2,899.000 €,15.25 km,24.07.2025
"Velenje, Velenje",141 m2,290.000 €,59.47 km,24.07.2025
"Koper, Ankaran",17 m2,139.000 €,90.97 km,24.07.2025
"Celje, Celje",39.4 m2,100.000 €,62.23 km,24.07.2025
"Celje, Celje",52 m2,185.000 €,62.18 km,24.07.2025
"Šentjur, Bukovje pri Slivnici",38.8 m2,120.000 €,75.38 km,24.07.2025
"Ljubljana Moste Polje, Jarše",81 m2,1.350 €,5.19 km,24.07.2025
"Primorsko-goranska, Rijeka",69.4 m2,200.000 €,77.52 km,23.07.2025
"Primorsko-goranska, Opatija",300 m2,1.500.000 €,79.70 km,23.07.2025
"Ljubljana Center, Center",170.9 m2,4.500 €,2.35 km,23.07.2025
"Ljubljana Vič Rudnik, Vrhovci",243.3 m2,2.375.000 €,3.37 km,23.07.2025
"Primorsko-goranska, Opatija",83.8 m2,364.000 €,79.66 km,23.07.2025
"Primorsko-goranska, Opatija - Okolica",60 m2,230.000 €,80.77 km,23.07.2025
"Primorsko-goranska, Crikvenica",27.38 m2,140.000 €,96.23 km,23.07.2025
"Primorsko-goranska, Rijeka",252 m2,510.000 €,77.67 km,22.07.2025
"Primorsko-goranska, Opatija",100 m2,100 €,79.47 km,22.07.2025
"Primorsko-goranska, Opatija",13.1 m2,129.000 €,79.50 km,22.07.2025
"Istrska, Cerovlje",400 m2,620.000 €,90.72 km,22.07.2025
"Primorsko-goranska, Crikvenica",429.16 m2,1.250.000 €,96.37 km,22.07.2025
"Primorsko-goranska, Opatija",49.85 m2,233.000 €,79.61 km,22.07.2025
"Istrska, Umag",316 m2,100 €,98.78 km,22.07.2025
"Primorsko-goranska, Matulji",101.77 m2,240.000 €,72.15 km,22.07.2025
"Primorsko-goranska, Opatija",123 m2,469.000 €,79.51 km,22.07.2025
"Istrska, Umag",462.46 m2,895.000 €,98.76 km,22.07.2025
"Primorsko-goranska, Lovran",732 m2,2.500.000 €,86.77 km,22.07.2025
"Primorsko-goranska, Opatija",77.5 m2,100 €,79.65 km,22.07.2025
"Primorsko-goranska, Vinodolska Općina",170 m2,270.000 €,94.32 km,22.07.2025
"Primorsko-goranska, Rijeka",130 m2,100 €,77.53 km,22.07.2025
"Primorsko-goranska, Delnice",184 m2,235.000 €,70.39 km,22.07.2025
"Primorsko-goranska, Kastav",520 m2,1.410.000 €,75.15 km,22.07.2025
"Primorsko-goranska, Kraljevica",245 m2,308.000 €,87.57 km,22.07.2025
"Primorsko-goranska, Rijeka",85 m2,100 €,77.41 km,22.07.2025
"Primorsko-goranska, Opatija",158.52 m2,100 €,79.46 km,22.07.2025
"Primorsko-goranska, Crikvenica",186 m2,940.000 €,96.28 km,22.07.2025
"Primorsko-goranska, Crikvenica",228 m2,870.000 €,96.22 km,22.07.2025
"Primorsko-goranska, Opatija - Okolica",55.36 m2,850 €,80.86 km,22.07.2025
"Primorsko-goranska, Lovran",78.74 m2,550.000 €,86.96 km,22.07.2025
"Primorsko-goranska, Kostrena",180 m2,100 €,83.02 km,22.07.2025
"Primorsko-goranska, Opatija",138.75 m2,1.260.000 €,79.74 km,22.07.2025
"Primorsko-goranska, Rijeka",64 m2,1.500 €,77.40 km,22.07.2025
"Primorsko-goranska, Opatija",211.24 m2,1.280.000 €,79.49 km,22.07.2025
"Primorsko-goranska, Matulji",27 m2,550 €,72.28 km,22.07.2025
"Karlovška, Bosiljevo",143 m2,177.000 €,95.91 km,22.07.2025
"Primorsko-goranska, Opatija",156.32 m2,1.280.000 €,79.63 km,22.07.2025
"Primorsko-goranska, Rijeka",215 m2,900.000 €,77.51 km,22.07.2025
"Primorsko-goranska, Opatija",188.42 m2,1.280.000 €,79.56 km,22.07.2025
"Primorsko-goranska, Opatija",90 m2,1.000 €,79.69 km,22.07.2025
"Primorsko-goranska, Opatija",121.35 m2,730.000 €,79.54 km,22.07.2025
"Primorsko-goranska, Opatija",482 m2,2.950.000 €,79.38 km,22.07.2025
"Primorsko-goranska, Kastav",125 m2,1.300 €,75.20 km,22.07.2025
"Koper, Koper",114.4 m2,85.000 €,80.27 km,22.07.2025
"Koper, Koper",64.7 m2,299.000 €,80.36 km,22.07.2025
"Šoštanj, Šoštanj",138 m2,185.000 €,58.02 km,22.07.2025
"Primorsko-goranska, Rijeka",270 m2,599.000 €,77.65 km,22.07.2025
"Primorsko-goranska, Lovran",90 m2,325.000 €,86.89 km,22.07.2025
"Primorsko-goranska, Rijeka",44.83 m2,147.000 €,77.57 km,21.07.2025
"Komenda, Moste",564.6 m2,870.000 €,17.52 km,21.07.2025
"Istrska, Umag",92 m2,335.000 €,98.75 km,19.07.2025
"Primorsko-goranska, Crikvenica",115 m2,249.000 €,96.05 km,19.07.2025
"Ljubljana Center, Trnovo",101.5 m2,2.500 €,1.60 km,19.07.2025
"Primorsko-goranska, Matulji",30 m2,900 €,72.17 km,18.07.2025
"Primorsko-goranska, Omišalj",82 m2,176.000 €,93.84 km,18.07.2025
"Primorsko-goranska, Viškovo",110 m2,290.000 €,73.08 km,18.07.2025
"Primorsko-goranska, Omišalj",260 m2,850.000 €,94.04 km,18.07.2025
"Primorsko-goranska, Vrbovsko",55 m2,310.000 €,87.27 km,18.07.2025
"Primorsko-goranska, Vinodolska Općina",236 m2,600.000 €,94.32 km,17.07.2025
"Primorsko-goranska, Lovran",150 m2,520.000 €,86.99 km,17.07.2025
"Vojnik, Vojnik",132.9 m2,250.000 €,68.70 km,17.07.2025
"Mislinja, Šentilj pod Turjakom",262 m2,339.000 €,69.40 km,17.07.2025
"Vojnik, Vojnik",61 m2,250.000 €,68.80 km,16.07.2025
"Primorsko-goranska, Viškovo",140 m2,240.000 €,73.10 km,16.07.2025
"Istrska, Cerovlje",126 m2,88.000 €,90.69 km,16.07.2025
"Primorsko-goranska, Rijeka",76 m2,250.000 €,77.65 km,16.07.2025
"Ruše, Ruše",48.15 m2,500 €,96.64 km,16.07.2025
"Celje, Celje",38.5 m2,135.000 €,62.28 km,16.07.2025
"Rače, Fram",100 m2,135.000 €,97.72 km,16.07.2025
"Primorsko-goranska, Kostrena",135.5 m2,1.400 €,82.87 km,16.07.2025
"Primorsko-goranska, Crikvenica",80 m2,250.000 €,96.18 km,16.07.2025
"Medvode, Moše",146.5 m2,367.000 €,16.84 km,15.07.2025
"Slovenska Bistrica, Zgornja Polskava",269 m2,239.000 €,95.91 km,15.07.2025
"Vipava, Goče",208 m2,360.000 €,51.98 km,15.07.2025
"Muta, Muta",152.1 m2,168.000 €,81.81 km,14.07.2025
"Celje, Trnovlje pri Celju",69.07 m2,250.000 €,66.55 km,14.07.2025
"Primorsko-goranska, Rijeka",53.64 m2,197.000 €,77.52 km,14.07.2025
"Primorsko-goranska, Rijeka",104.12 m2,100 €,77.56 km,12.07.2025
"Primorsko-goranska, Kostrena",300 m2,100 €,82.97 km,12.07.2025
"Istrska, Umag",280 m2,549.000 €,98.70 km,11.07.2025
"Ljubljana Center, Center",38.3 m2,950 €,2.05 km,11.07.2025
"Istrska, Umag",278 m2,865.000 €,98.83 km,11.07.2025
"Kranjska Gora, Kranjska Gora",117 m2,559.000 €,72.56 km,10.07.2025
"Tolmin, Tolmin",71.8 m2,160.000 €,60.00 km,10.07.2025
"Ljubljana Center, Center",28 m2,170.000 €,1.93 km,10.07.2025
"Kanal ob Soči, Ročinj",173 m2,125.000 €,63.88 km,10.07.2025
"Primorsko-goranska, Crikvenica",56.55 m2,240.000 €,96.42 km,09.07.2025
"Laško, Laško",144.1 m2,180.000 €,59.03 km,09.07.2025
"Celje, Celje",127.8 m2,269.000 €,62.45 km,09.07.2025
"Koper, Koštabona",150 m2,110.000 €,86.20 km,09.07.2025
"Laško, Laško",37.5 m2,110.000 €,58.93 km,09.07.2025
"Ilirska Bistrica, Novokračine",70 m2,115.000 €,63.09 km,09.07.2025
"Rogatec, Donačka Gora",28.44 m2,42.990 €,98.89 km,09.07.2025
"Rogatec, Donačka Gora",54.16 m2,69.000 €,98.95 km,09.07.2025
"Primorsko-goranska, Rijeka",125.21 m2,390.000 €,77.73 km,08.07.2025
"Ljubljana Šiška, Koseze",63.8 m2,285.000 €,3.29 km,08.07.2025
"Istrska, Buje",90 m2,135.000 €,93.07 km,08.07.2025
"Primorsko-goranska, Crikvenica",140 m2,3.000 €,96.21 km,08.07.2025
"Primorsko-goranska, Delnice",480 m2,410.000 €,70.45 km,08.07.2025
"Primorsko-goranska, Lokve",281 m2,675.000 €,75.29 km,08.07.2025
"Primorsko-goranska, Brod Moravice",350 m2,520.000 €,73.91 km,08.07.2025
"Primorsko-goranska, Opatija - Okolica",200 m2,580.000 €,80.80 km,08.07.2025
"Primorsko-goranska, Opatija - Okolica",185 m2,550.000 €,80.79 km,08.07.2025
"Primorsko-goranska, Omišalj",202 m2,680.000 €,93.92 km,08.07.2025
"Primorsko-goranska, Omišalj",193 m2,680.000 €,93.90 km,08.07.2025
"Primorsko-goranska, Opatija",640 m2,3.900.000 €,79.48 km,08.07.2025
"Primorsko-goranska, Crikvenica",570 m2,100 €,96.18 km,08.07.2025
"Primorsko-goranska, Mošćenička Draga",220 m2,1.000.000 €,94.24 km,08.07.2025
"Primorsko-goranska, Matulji",159.6 m2,100 €,72.16 km,08.07.2025
"Primorsko-goranska, Rijeka",150.66 m2,690.000 €,77.58 km,08.07.2025
"Primorsko-goranska, Mošćenička Draga",90 m2,470.000 €,94.30 km,08.07.2025
"Primorsko-goranska, Lovran",135 m2,745.000 €,86.91 km,08.07.2025
"Primorsko-goranska, Opatija",100 m2,450.000 €,79.53 km,08.07.2025
"Primorsko-goranska, Crikvenica",75 m2,800 €,96.18 km,08.07.2025
"Primorsko-goranska, Crikvenica",55 m2,800 €,96.17 km,08.07.2025
"Primorsko-goranska, Crikvenica",75 m2,800 €,96.18 km,08.07.2025
"Primorsko-goranska, Skrad",79.85 m2,550.000 €,76.53 km,08.07.2025
"Ljubljana Moste Polje, Zalog",279.2 m2,474.000 €,9.84 km,07.07.2025
"Ljubljana Šiška, Šiška",99 m2,2.100.000 €,2.91 km,07.07.2025
"Prebold, Latkova vas",266 m2,530.000 €,51.12 km,07.07.2025
"Celje, Celje",71.9 m2,200.000 €,62.48 km,07.07.2025
"Primorsko-goranska, Opatija",225 m2,1.550.000 €,79.52 km,07.07.2025
"Žalec, Žalec",188 m2,229.000 €,57.17 km,07.07.2025
"Domžale, Domžale",189.5 m2,455.000 €,13.57 km,04.07.2025
"Ljubljana Šiška, Šentvid",157.8 m2,682.000 €,7.09 km,04.07.2025
"Istrska, Grožnjan",396 m2,360.000 €,92.51 km,04.07.2025
"Žalec, Žalec",25.7 m2,92.000 €,57.32 km,04.07.2025
"Vransko, Vransko",136.3 m2,311.874 €,42.02 km,04.07.2025
"Šentjur, Planinski Vrh",69.5 m2,100.000 €,73.96 km,04.07.2025
"Dolenjske Toplice, Dobindol",209.3 m2,240.000 €,59.66 km,04.07.2025
"Vransko, Vransko",137.4 m2,380.744 €,41.98 km,04.07.2025
"Selnica ob Dravi, Janževa Gora",120.5 m2,195.000 €,94.45 km,04.07.2025
"Vransko, Vransko",125.9 m2,349.323 €,42.01 km,04.07.2025
"Slovenj Gradec, Gmajna",222.8 m2,239.000 €,69.18 km,04.07.2025
"Črnomelj, Črnomelj",48.7 m2,79.000 €,76.09 km,04.07.2025
"Ljubljana Šiška, Šentvid",157.8 m2,682.000 €,6.96 km,04.07.2025
"Litija, Litija",74.82 m2,230.690 €,26.43 km,04.07.2025
"Prevalje, Dolga Brda",162.7 m2,119.000 €,63.70 km,04.07.2025
"Velenje, Velenje",69 m2,215.900 €,59.95 km,04.07.2025
"Cerklje na Gorenjskem, Grad",417 m2,248.000 €,25.14 km,04.07.2025
"Vransko, Vransko",137.4 m2,380.744 €,42.20 km,04.07.2025
"Vransko, Vransko",150.9 m2,349.323 €,42.02 km,04.07.2025
"Ljubljana Moste Polje, Sostro",199.2 m2,390.867 €,8.07 km,04.07.2025
"Solčava, Robanov Kot",248.7 m2,389.000 €,25.75 km,04.07.2025
"Vransko, Vransko",137.4 m2,380.744 €,41.97 km,04.07.2025
"Ljubljana Center, Trnovo",152.71 m2,860.000 €,1.70 km,04.07.2025
"Slovenske Konjice, Slovenske Konjice",227.5 m2,277.000 €,78.91 km,04.07.2025
"Bled, Bled",153 m2,790.000 €,44.97 km,04.07.2025
"Velenje, Velenje",69.98 m2,217.900 €,59.85 km,04.07.2025
"Vransko, Vransko",179.8 m2,353.995 €,42.02 km,04.07.2025
"Slovenske Konjice, Loče",209 m2,370.000 €,83.02 km,04.07.2025
"Vrhnika, Bevke",168 m2,690.000 €,12.06 km,04.07.2025
"Zreče, Skomarje",245.8 m2,183.000 €,75.64 km,04.07.2025
"Ljubljana Center, Trnovo",152.71 m2,568.000 €,1.68 km,04.07.2025
"Ljubljana Vič Rudnik, Dolgi most",137.7 m2,585.000 €,657 km,04.07.2025
"Novo mesto, Novo mesto",103 m2,223.000 €,59.75 km,04.07.2025
"Celje, Center",70.7 m2,158.000 €,63.38 km,04.07.2025
"Vransko, Vransko",205.91 m2,354.846 €,42.00 km,04.07.2025
"Domžale, Domžale",189 m2,455.000 €,13.73 km,04.07.2025
"Bled, Bled",153 m2,790.000 €,45.04 km,04.07.2025
"Rače, Fram",230.33 m2,269.000 €,97.62 km,04.07.2025
"Slovenska Bistrica, Slovenska Bistrica",62.3 m2,131.000 €,92.15 km,04.07.2025
"Bohinj, Bohinjska Bistrica",188 m2,215.000 €,47.04 km,04.07.2025
"Vransko, Vransko",351.9 m2,500.365 €,41.98 km,04.07.2025
"Velenje, Velenje",84.4 m2,195.000 €,59.65 km,04.07.2025
"Šmarje pri Jelšah, Šmarje pri Jelšah",136.36 m2,125.000 €,82.94 km,04.07.2025
"Laško, Laško",87.4 m2,151.500 €,59.09 km,04.07.2025
"Ljubljana Center, Center",119.6 m2,2.500.000 €,2.28 km,04.07.2025
"Prevalje, Prevalje",200.3 m2,125.000 €,65.86 km,04.07.2025
"Ljubljana Center, Stara Ljubljana",204.7 m2,1.100.000 €,1.80 km,04.07.2025
"Ljubljana Center, Center",197 m2,595.000 €,2.10 km,04.07.2025
"Ravne na Koroškem, Ravne na Koroškem",214.9 m2,159.000 €,66.80 km,04.07.2025
"Ljubljana Moste Polje, Sostro",199.2 m2,428.000 €,8.16 km,04.07.2025
"Ljubljana Bežigrad, Ježica",163.4 m2,580.175 €,5.57 km,04.07.2025
"Mislinja, Mislinja",368.7 m2,495.000 €,73.28 km,04.07.2025
"Ljubljana Bežigrad, Ježica",166.6 m2,588.146 €,5.74 km,04.07.2025
"Prevalje, Prevalje",247.9 m2,214.000 €,65.92 km,04.07.2025
"Slovenska Bistrica, Frajhajm",109.9 m2,249.900 €,92.67 km,04.07.2025
"Ljubljana Center, Trnovo",107.8 m2,690.000 €,1.66 km,04.07.2025
"Ljubljana Vič Rudnik, Rudnik",170 m2,445.000 €,4.15 km,04.07.2025
"Slovenske Konjice, Lipoglav",271.7 m2,890.000 €,80.95 km,04.07.2025
"Domžale, Domžale",200.46 m2,669.900 €,13.78 km,04.07.2025
"Zreče, Zreče",568.6 m2,688.000 €,78.60 km,04.07.2025
"Domžale, Brdo",102 m2,681.604 €,14.77 km,04.07.2025
"Domžale, Brdo",111 m2,595.000 €,14.77 km,04.07.2025
"Domžale, Brdo",107.59 m2,673.419 €,14.70 km,04.07.2025
"Domžale, Brdo",142.96 m2,678.742 €,14.58 km,04.07.2025
"Ljubljana Šiška, Šiška",90.2 m2,510.000 €,2.89 km,04.07.2025
"Radovljica, Radovljica",600 m2,1.250.000 €,40.73 km,04.07.2025
"Litija, Litija",74.82 m2,230.690 €,26.44 km,04.07.2025
"Ljubljana Bežigrad, Ježica",163.2 m2,581.576 €,5.84 km,04.07.2025
"Kozje, Gradišče",66 m2,55.000 €,84.10 km,04.07.2025
"Prevalje, Prevalje",247.9 m2,214.000 €,65.91 km,04.07.2025
"Slovenj Gradec, Slovenj Gradec",167.5 m2,240.000 €,68.67 km,04.07.2025
"Vransko, Jeronim",151.3 m2,600.000 €,38.43 km,04.07.2025
"Celje, Celje",53 m2,135.000 €,62.62 km,04.07.2025
"Velenje, Velenje",87.4 m2,215.000 €,59.69 km,04.07.2025
"Vransko, Vransko",179.8 m2,353.995 €,42.08 km,04.07.2025
"Vransko, Vransko",205.91 m2,354.846 €,42.07 km,04.07.2025
"Podčetrtek, Virštanj",89.5 m2,90.000 €,82.11 km,04.07.2025
"Slovenj Gradec, Vrhe",459.4 m2,189.000 €,64.98 km,04.07.2025
"Ravne na Koroškem, Ravne na Koroškem",214.9 m2,159.000 €,66.93 km,04.07.2025
"Ljubljana Center, Trnovo",151 m2,860.000 €,1.65 km,04.07.2025
"Slovenj Gradec, Slovenj Gradec",75.7 m2,219.000 €,68.59 km,04.07.2025
"Dol pri Ljubljani, Senožeti",123 m2,345.000 €,18.90 km,04.07.2025
"Ljubljana Center, Stara Ljubljana",220 m2,1.950.000 €,1.74 km,04.07.2025
"Ljubljana Bežigrad, Bežigrad",92.9 m2,355.000 €,4.43 km,04.07.2025
"Rače, Fram",230.33 m2,309.000 €,97.54 km,04.07.2025
"Domžale, Dob",116 m2,369.000 €,16.19 km,04.07.2025
"Rače, Fram",230.33 m2,349.000 €,97.47 km,04.07.2025
"Ljubljana Vič Rudnik, Vrhovci",262 m2,570.000 €,2.46 km,04.07.2025
"Vransko, Vransko",214.35 m2,500.365 €,41.99 km,04.07.2025
"Celje, Celje",360 m2,450.000 €,62.46 km,04.07.2025
"Ravne na Koroškem, Ravne na Koroškem",62.16 m2,189.300 €,66.80 km,04.07.2025
"Ljubljana Center, Stara Ljubljana",204.7 m2,1.100.000 €,1.76 km,04.07.2025
"Domžale, Domžale",183.5 m2,495.000 €,13.84 km,04.07.2025
"Dravograd, Dravograd",179.5 m2,269.000 €,73.46 km,04.07.2025
"Dol pri Ljubljani, Senožeti",181.5 m2,395.000 €,18.91 km,04.07.2025
"Slovenj Gradec, Troblje",297.3 m2,250.000 €,71.88 km,04.07.2025
"Oplotnica, Oplotnica",250 m2,420.000 €,87.83 km,04.07.2025
"Ljubljana Moste Polje, Sostro",199.2 m2,390.867 €,8.00 km,04.07.2025
"Ljubljana Center, Trnovo",152.71 m2,568.000 €,1.53 km,04.07.2025
"Logatec, Petkovec",750 m2,1.050.000 €,24.54 km,04.07.2025
"Slovenj Gradec, Slovenj Gradec",63.5 m2,135.000 €,68.92 km,04.07.2025
"Komenda, Moste",87.8 m2,270.000 €,17.28 km,04.07.2025
"Celje, Celje",251 m2,350.000 €,62.33 km,04.07.2025
"Muta, Muta",255.8 m2,170.000 €,81.61 km,04.07.2025
"Vransko, Vransko",180.91 m2,354.846 €,41.92 km,04.07.2025
"Prebold, Marija Reka",98.1 m2,135.000 €,46.43 km,04.07.2025
"Rogaška Slatina, Rogaška Slatina",169.8 m2,290.000 €,91.36 km,04.07.2025
"Vransko, Vransko",179.8 m2,359.377 €,42.23 km,04.07.2025
"Vransko, Vransko",351.9 m2,513.743 €,42.19 km,04.07.2025
"Domžale, Domžale",200.46 m2,589.000 €,13.71 km,04.07.2025
"Vransko, Vransko",205.91 m2,354.846 €,42.05 km,04.07.2025
"Vransko, Vransko",137.4 m2,380.745 €,42.20 km,04.07.2025
"Žalec, Pongrac",465.2 m2,347.000 €,51.39 km,04.07.2025
"Litija, Litija",126.99 m2,325.440 €,26.40 km,04.07.2025
"Radlje ob Dravi, Radlje ob Dravi",87.6 m2,49.000 €,85.10 km,04.07.2025
"Domžale, Brdo",112.57 m2,595.469 €,14.70 km,04.07.2025
"Ljubljana Bežigrad, Ježica",185 m2,587.838 €,5.76 km,04.07.2025
"Trbovlje, Trbovlje",419.5 m2,220.000 €,44.61 km,04.07.2025
"Trbovlje, Trbovlje",124.19 m2,105.000 €,45.01 km,04.07.2025
"Ljubljana Bežigrad, Ježica",181.1 m2,631.180 €,5.78 km,04.07.2025
"Rogaška Slatina, Rogaška Slatina",80.4 m2,286.100 €,91.12 km,04.07.2025
"Polzela, Polzela",286.8 m2,369.000 €,54.74 km,04.07.2025
"Celje, Celje",321 m2,550.000 €,62.34 km,04.07.2025
"Medvode, Medvode",273.9 m2,950.000 €,12.08 km,04.07.2025
"Celje, Center",62 m2,124.000 €,63.47 km,04.07.2025
"Zreče, Skomarje",245.8 m2,183.000 €,75.77 km,04.07.2025
"Vransko, Vransko",179.79 m2,353.995 €,42.02 km,04.07.2025
"Nova Gorica, Grgar",470 m2,645.000 €,61.19 km,04.07.2025
"Kranj, Mlaka pri Kranju",180 m2,388.000 €,28.49 km,04.07.2025
"Jesenice, Blejska Dobrava",164.2 m2,229.000 €,51.43 km,04.07.2025
"Ljubljana Vič Rudnik, Vič - Dolgi most",182 m2,539.000 €,1.90 km,04.07.2025
"Rogaška Slatina, Rogaška Slatina",88.4 m2,241.800 €,91.24 km,04.07.2025
"Rogaška Slatina, Rogaška Slatina",139.1 m2,433.300 €,91.23 km,04.07.2025
"Jesenice, Blejska Dobrava",164.2 m2,229.000 €,51.45 km,04.07.2025
"Domžale, Homec",440 m2,1.990.000 €,16.93 km,04.07.2025
"Ruše, Ruše",570.4 m2,510.000 €,95.95 km,04.07.2025
"Ljubljana Vič Rudnik, Rožna dolina",153.7 m2,2.700 €,594 km,04.07.2025
"Ruše, Bezena",244.8 m2,210.000 €,97.35 km,04.07.2025
"Hrastnik, Gore",180 m2,97.000 €,51.22 km,04.07.2025
"Medvode, Golo Brdo",273.9 m2,950.000 €,8.72 km,04.07.2025
"Kranj, Kranj",300 m2,690.000 €,24.30 km,04.07.2025
"Domžale, Homec",440 m2,1.990.000 €,16.78 km,04.07.2025
"Šentjernej, Šentjernej",889 m2,190.000 €,70.27 km,04.07.2025
"Vransko, Vransko",351.9 m2,513.743 €,42.05 km,04.07.2025
"Rogaška Slatina, Rogaška Slatina",86.4 m2,240.400 €,91.03 km,04.07.2025
"Ljubljana Center, Center",457 m2,3.500.000 €,2.11 km,04.07.2025
"Ljubljana Vič Rudnik, Vič - Dolgi most",357.5 m2,3.000.000 €,2.09 km,04.07.2025
"Slovenj Gradec, Legen",240 m2,320.000 €,71.51 km,04.07.2025
"Slovenska Bistrica, Vrhole pri Laporju",112 m2,149.000 €,92.09 km,04.07.2025
"Ruše, Bezena",210 m2,125.000 €,97.52 km,04.07.2025
"Polzela, Polzela",170 m2,310.000 €,54.46 km,04.07.2025
"Slovenj Gradec, Slovenj Gradec",594 m2,320.000 €,68.51 km,04.07.2025
"Kranjska Gora, Gozd Martuljek",184.7 m2,1.690.000 €,68.99 km,04.07.2025
"Miren, Kostanjevica na Krasu",423 m2,225.000 €,68.29 km,04.07.2025
"Radovljica, Radovljica",220 m2,265.000 €,40.76 km,04.07.2025
"Ljubljana Center, Stara Ljubljana",80.1 m2,1.150.000 €,1.76 km,04.07.2025
"Bled, Bodešče",190 m2,395.000 €,43.20 km,04.07.2025
"Ljubljana Center, Center",118.98 m2,"1.127.450,46 €",2.12 km,04.07.2025
"Domžale, Radomlje",159 m2,449.000 €,17.34 km,04.07.2025
"Medvode, Medvode",309.3 m2,1.096.443 €,12.25 km,04.07.2025
"Medvode, Medvode",111.6 m2,578.000 €,12.20 km,04.07.2025
"Vransko, Vransko",137.4 m2,380.744 €,42.04 km,04.07.2025
"Vransko, Vransko",362.42 m2,513.743 €,41.95 km,04.07.2025
"Ljubljana Bežigrad, Ježica",185 m2,597.912 €,5.79 km,04.07.2025
"Domžale, Radomlje",159 m2,449.000 €,17.11 km,04.07.2025
"Ljubljana Vič Rudnik, Rožna dolina",1147 m2,1.500.000 €,820 km,04.07.2025
"Slovenske Konjice, Slovenske Konjice",139.7 m2,178.000 €,79.03 km,04.07.2025
"Logatec, Petkovec",170 m2,256.000 €,24.58 km,04.07.2025
"Ljubljana Šiška, Šiška",197.72 m2,890.000 €,2.91 km,04.07.2025
"Kranj, Kranj",118 m2,310.000 €,24.17 km,04.07.2025
"Domžale, Brdo",95.61 m2,678.742 €,14.70 km,04.07.2025
"Vransko, Vransko",362.42 m2,500.365 €,42.03 km,04.07.2025
"Kozje, Podsreda",529 m2,330.000 €,85.39 km,04.07.2025
"Ljubljana Moste Polje, Sostro",199.2 m2,390.867 €,7.98 km,04.07.2025
"Ljubljana Bežigrad, Ježica",168.2 m2,614.621 €,5.70 km,04.07.2025
"Ljubljana Bežigrad, Ježica",163.4 m2,545.364 €,5.70 km,04.07.2025
"Ljubljana Bežigrad, Ježica",166.4 m2,553.186 €,5.70 km,04.07.2025
"Primorsko-goranska, Opatija - Okolica",260 m2,770.000 €,80.71 km,03.07.2025
"Primorsko-goranska, Opatija",152 m2,550.000 €,79.50 km,03.07.2025
"Celje, Dolgo polje",42.1 m2,120.000 €,63.74 km,03.07.2025
"Medvode, Vaše",192.6 m2,397.980 €,12.27 km,03.07.2025
"Ljubljana Bežigrad, Bežigrad",30.54 m2,Cena po dogovoru,4.47 km,03.07.2025
"Istrska, Umag",262.74 m2,1.362.525 €,98.62 km,03.07.2025
"Istrska, Umag",79.76 m2,426.042 €,98.81 km,03.07.2025
"Primorsko-goranska, Rijeka",128 m2,100 €,77.76 km,03.07.2025
"Primorsko-goranska, Rijeka",57.76 m2,190.000 €,77.68 km,02.07.2025
"Podvelka, Spodnja Kapla",142.5 m2,169.900 €,94.70 km,02.07.2025
"Ruše, Bistrica ob Dravi",90.8 m2,148.500 €,99.57 km,02.07.2025
"Ljubljana Vič Rudnik, Rudnik",136.5 m2,529.000 €,4.05 km,01.07.2025
"Ljubljana Center, Center",91.9 m2,2.100 €,2.30 km,01.07.2025
"Škofljica, Škofljica",118.4 m2,1.500 €,9.28 km,01.07.2025
"Ljubljana Bežigrad, Bežigrad",269.4 m2,1.050.000 €,4.34 km,01.07.2025
"Slovenska Bistrica, Zgornja Polskava",269.1 m2,239.000 €,95.68 km,01.07.2025
"Slovenska Bistrica, Slovenska Bistrica",41 m2,103.000 €,91.97 km,01.07.2025
"Primorsko-goranska, Matulji",250 m2,1.950.000 €,72.08 km,01.07.2025
"Ljubljana Bežigrad, Bežigrad",75.8 m2,562.000 €,4.26 km,30.06.2025
"Primorsko-goranska, Kastav",124 m2,1.000 €,75.15 km,29.06.2025
"Primorsko-goranska, Vinodolska Općina",176 m2,375.000 €,94.17 km,26.06.2025
"Istrska, Umag",266 m2,930.000 €,98.71 km,26.06.2025
"Primorsko-goranska, Vinodolska Općina",87.9 m2,240.000 €,94.19 km,26.06.2025
"Primorsko-goranska, Vinodolska Općina",87.9 m2,195.000 €,94.22 km,26.06.2025
"Istrska, Umag",77.3 m2,290.000 €,98.57 km,26.06.2025
"Istrska, Umag",72.12 m2,269.000 €,98.59 km,26.06.2025
"Istrska, Umag",55.91 m2,211.000 €,98.74 km,25.06.2025
"Primorsko-goranska, Opatija",52.2 m2,565.000 €,79.56 km,25.06.2025
"Ljubljana Šiška, Šiška",78.8 m2,1.400 €,2.90 km,25.06.2025
"Ljubljana Center, Center",165 m2,1.900 €,2.18 km,25.06.2025
"Ljubljana Center, Center",95.8 m2,1.390 €,2.16 km,25.06.2025
"Ljubljana Vič Rudnik, Vič - Dolgi most",40.6 m2,750 €,2.13 km,25.06.2025
"Ljubljana Center, Center",98 m2,2.300 €,2.34 km,25.06.2025
"Ljubljana Šiška, Tacen",132.65 m2,2.500 €,8.51 km,25.06.2025
"Istrska, Buzet",57.65 m2,200.000 €,82.53 km,25.06.2025
"Primorsko-goranska, Rijeka",188 m2,365.000 €,77.58 km,25.06.2025
"Primorsko-goranska, Vinodolska Općina",160 m2,210.000 €,94.17 km,25.06.2025
